ESP indicator name,*model* Indicator name,Stackable sub-category?,Standardized Unit,Unit of Entry,Conversion factor,Definition
Energy|Primary Energy Use|Oil w/o CCS,,,EJ/yr,,,
Energy|Primary Energy Use|Other Renewables,,,EJ/yr,,,
Energy|Primary Energy Use|Petroleum Diesel,,,EJ/yr,,,conventional & unconventional oil primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Petroleum Gasoline,,,EJ/yr,,,conventional & unconventional oil primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Solar,,,EJ/yr,,,total solar primary energy consumption
Energy|Primary Energy Use|Total,,,EJ/yr,,,
Energy|Primary Energy Use|Wind,,,EJ/yr,,,total wind primary energy consumption
Energy|Total Energy Used,,,EJ/yr,,,
Energy|Total Fuel Use,,,EJ/yr,,,
Energy|Total Fuel Use|Bioenergy Gaseous,,,EJ/yr,,,
Energy|Total Fuel Use|Bioenergy Liquid,,,EJ/yr,,,
Energy|Total Fuel Use|Bioenergy Solid,,,EJ/yr,,,
Energy|Total Fuel Use|Biofuel Diesel,,,EJ/yr,,,
Energy|Total Fuel Use|Biofuel Gasoline,,,EJ/yr,,,
Energy|Total Fuel Use|Biomass,,,EJ/yr,,,
Energy|Total Fuel Use|Biomass w/ CCS,,,EJ/yr,,,
Energy|Total Fuel Use|Biomass w/o CCS,,,EJ/yr,,,
Energy|Total Fuel Use|Electricity,,,EJ/yr,,,
Energy|Total Fuel Use|Geothermal,,,EJ/yr,,,
Energy|Total Fuel Use|Hard Coal,,,EJ/yr,,,
Energy|Total Fuel Use|Heat,,,EJ/yr,,,
Energy|Total Fuel Use|Hydro,,,EJ/yr,,,
Energy|Total Fuel Use|Hydrogen,,,EJ/yr,,,
Energy|Total Fuel Use|Jet Fuel,,,EJ/yr,,,
Energy|Total Fuel Use|Lignite,,,EJ/yr,,,
Energy|Total Fuel Use|Liquids,,,EJ/yr,,,
Energy|Total Fuel Use|Natural Gas,,,EJ/yr,,,
Energy|Total Fuel Use|Nuclear,,,EJ/yr,,,
Energy|Total Fuel Use|Petroleum Diesel,,,EJ/yr,,,
Energy|Total Fuel Use|Petroleum Gasoline,,,EJ/yr,,,
Energy|Total Fuel Use|Solar,,,EJ/yr,,,
"Energy|Total Fuel Use|Solar, Wind and Marine",,,EJ/yr,,,
Energy|Total Fuel Use|Solids,,,EJ/yr,,,
Energy|Total Fuel Use|Wind,,,EJ/yr,,,
Financial|,,,,,,
Industry|Emissions by sub-sector|Agriculture,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Cement,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Chemicals,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Iron and Steel,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Mining,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Natural Gas,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Refineries,,,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Waste,,,Mt CO2e/yr,,,
Industry|Energy demand by sub-sector|Aluminium,,,EJ/yr,,,
Industry|Energy demand by sub-sector|Cement,,,EJ/yr,,,
Industry|Energy demand by sub-sector|Chemicals,,,EJ/yr,,,
Industry|Energy demand by sub-sector|Iron and Steel,,,EJ/yr,,,
Industry|Energy demand by sub-sector|Other,,,EJ/yr,,,
Industry|Energy demand by sub-sector|Pulp and paper,,,EJ/yr,,,
Industry|Energy demand by sub-sector|Timber,,,EJ/yr,,,
Industry|Energy used by fuel|Electricity,,,EJ/yr,,,
Industry|Energy used by fuel|Gases,,,EJ/yr,,,
Industry|Energy used by fuel|Heat,,,EJ/yr,,,
Industry|Energy used by fuel|Hydrogen,,,EJ/yr,,,
Industry|Energy used by fuel|Liquids,,,EJ/yr,,,
Industry|Energy used by fuel|Solids,,,EJ/yr,,,
Industry|Energy used by fuel|Total,,,EJ/yr,,,
Industry|Intensities|Emissions per ton of cement generated,,,g CO2e/metric ton,,,
Industry|Intensities|Emissions per ton of steel generated,,,g CO2e/metric ton,,,
Industry|Outputs|Total cement generated,,,million metric tons/yr,,,
Industry|Outputs|Total steel generated,,,million metric tons/yr,,,
Industry|Total,,,EJ/yr,,,
Policy|Carbon price,,,US$2016/tCO2,,,price of carbon
Population and Economy|GDP MER,,,billion 2016 $US/yr,,,
Population and Economy|GDP MER by sector|<fill in sectors>,,,billion 2016 $US/yr,,,
Population and Economy|GDP PPP,,,billion 2016 $US/yr,,,GDP at purchasing power parity
Population and Economy|GDP PPP by sector|<fill in sectors>,,,billion 2016 $US/yr,,,
Population and Economy|Net Trade Balance,,,billion 2016 $US/yr,,,
Population and Economy|Population,,,Millions,,,
Population and Economy|Population by age|<fill in age groups>,,,Millions,,,
Population and Economy|Population by age|Aged 16 and over,,,Millions,,,
Population and Economy|Population by age|Aged 65 and over,,,Millions,,,
Population and Economy|Population by educational level|<fill in educational levels>,,,Millions,,,
Population and Economy|Population by income|<fill in income levels>,,,Millions,,,
Population and Economy|Population|Total,,,Millions,,,
Technology|,,,,,,
Transportation|,,,,,,
Transportation|Emissions|CO2e,,,EJ/yr,,,
Transportation|Energy use by freight|Aviation,,,EJ/yr,,,
Transportation|Energy use by freight|Rail,,,EJ/yr,,,
Transportation|Energy use by freight|Road,,,EJ/yr,,,
Transportation|Energy use by freight|Total,,,EJ/yr,,,
Transportation|Energy use by freight|Water,,,EJ/yr,,,
Transportation|Energy use by fuel|Biofuel Diesel,,,EJ/yr,,,
Transportation|Energy use by fuel|Biofuel Gasoline,,,EJ/yr,,,
Transportation|Energy use by fuel|Electricity,,,EJ/yr,,,
Transportation|Energy use by fuel|Gases,,,EJ/yr,,,
Transportation|Energy use by fuel|Hydrogen,,,EJ/yr,,,
Transportation|Energy use by fuel|Jet Fuel,,,EJ/yr,,,
Transportation|Energy use by fuel|Liquids,,,EJ/yr,,,
Transportation|Energy use by fuel|Petroleum Diesel,,,EJ/yr,,,
Transportation|Energy use by fuel|Petroleum Gasoline,,,EJ/yr,,,
Transportation|Energy use by fuel|Solids,,,EJ/yr,,,
Transportation|Energy use by fuel|Total,,,EJ/yr,,,
Transportation|Energy use by passenger|Aviation,,,EJ/yr,,,
Transportation|Energy use by passenger|Rail,,,EJ/yr,,,
Transportation|Energy use by passenger|Road,,,EJ/yr,,,
Transportation|Energy use by passenger|Total,,,EJ/yr,,,
Transportation|Energy use by passenger|Water,,,EJ/yr,,,
